,MSE,RMSE,MAE,R2
G,0.013691944790783573,0.11701258389926945,0.014458359484024436,0.9999721390942955
Q,0.00037710632428212377,0.01941922563549133,0.0018402251362564087,0.9999342690090611
L,0.05332708971215924,0.23092658944383004,0.028650966811806837,0.9999728544514422
A,0.0003290205738662382,0.018138924275332265,0.0016877030938099516,0.9999311191373612
P,0.013331772434223708,0.11546329474869366,0.014325483358469603,0.9999728544514329
