,MSE,RMSE,MAE,R2
G,42.621307959281765,6.528499671385591,3.4537133928474693,0.9132724926810012
Q,0.5821248847826097,0.7629710903976701,0.40901152270052527,0.8985335353370251
L,170.03914235761522,13.039905764905482,6.89667676463957,0.9134435083463527
A,0.5224489595383084,0.722806308452208,0.3861112085048312,0.8906246664308277
P,42.50978556044525,6.519952880231977,3.4483383831105345,0.9134435084155407
