Actual_1,Predicted_FF_1,Actual_2,Predicted_FF_2,Actual_3,Predicted_FF_3,Actual_4,Predicted_FF_4,Actual_5,Predicted_FF_5
473.9584705,395.18075219789125,38.1034031,32.489750169953744,93.21467571,107.45801776917216,8.770040464,8.116642973033386,46.60733785,53.7290088846949
474.7586242,395.83515390764154,38.15870617,32.538314725518205,92.97792542,107.65802506927957,8.774814816,8.132189789457108,46.48896271,53.829012534749836
475.550912,396.4895556173919,38.21325642,32.58687928108266,92.7498872,107.85803236938702,8.779991373,8.147736605880828,46.3749436,53.929016184804766
476.3352402,397.14395732714223,38.26704372,32.63544383664711,92.53078461,108.05803966949445,8.785580587,8.16328342230455,46.26539231,54.0290198348597
477.1115121,397.7983590368926,38.32005766,32.68400839221157,92.32084666,108.25804696960188,8.791593172,8.17883023872827,46.16042333,54.12902348491464
477.8796284,398.45276074664287,38.37228749,32.73257294777602,92.12030781,108.45805426970932,8.798040112,8.194377055151993,46.0601539,54.22902713496957
478.6394869,399.1071624563932,38.4237222,32.781137503340474,91.92940796,108.65806156981674,8.804932651,8.209923871575715,45.96470398,54.329030785024514
479.3909257,399.76156416614356,38.47434809,32.82970205890493,91.74850908,108.85806886992418,8.812284443,8.225470687999435,45.87425454,54.429034435079444
480.1338643,400.4159658758939,38.52415467,32.87826661446938,91.57780575,109.05807617003161,8.820106233,8.241017504423157,45.78890287,54.52903808513438
480.8682003,401.07036758564425,38.57313031,32.92683117003384,91.41753744,109.25808347013904,8.828409756,8.256564320846877,45.70876872,54.62904173518932
481.5938176,401.72476929539454,38.62126267,32.97539572559829,91.26797079,109.45809077024647,8.837207413,8.272111137270599,45.63398539,54.72904538524425
482.3105976,402.3791710051449,38.66853909,33.02396028116275,91.12937808,109.6580980703539,8.846511872,8.287657953694321,45.56468904,54.829049035299185
483.0184183,403.03357271489523,38.71494662,33.072524836727204,91.00203731,109.85810537046135,8.85633607,8.303204770118041,45.50101866,54.92905268535412
483.717155,403.6879744246456,38.76047197,33.12108939229166,90.88623212,110.05811267056876,8.866693218,8.318751586541763,45.44311606,55.02905633540905
484.4066802,404.34237613439586,38.80510156,33.16965394785611,90.78225184,110.2581199706762,8.877596791,8.334298402965484,45.39112592,55.12905998546399
485.0868631,404.9967778441462,38.84882151,33.218218503420566,90.69039148,110.45812727078363,8.889060538,8.349845219389206,45.34519574,55.229063635518926
485.7575704,405.65117955389655,38.89161761,33.26678305898503,90.61095172,110.65813457089106,8.901098476,8.365392035812928,45.30547586,55.329067285573856
486.4186655,406.3055812636469,38.93347536,33.31534761454948,90.54423892,110.85814187099851,8.913724891,8.380938852236648,45.27211946,55.4290709356288
487.0700091,406.95998297339725,38.97437993,33.363912170113935,90.49056511,111.05814917110592,8.926954339,8.39648566866037,45.24528256,55.52907458568373
487.7114587,407.61438468314753,39.01431621,33.41247672567839,90.45024801,111.25815647121337,8.940801648,8.41203248508409,45.225124,55.62907823573866
488.3430805,408.2687863928979,39.05330726,33.46104128124284,90.42316709,111.45816377132078,8.955246244,8.427579301507812,45.21158354,55.729081885793605
488.9647565,408.9231881026482,39.09133685,33.509605836807296,90.40960077,111.65817107142823,8.970304364,8.443126117931534,45.20480038,55.829085535848535
489.5762915,409.5775898123985,39.12837758,33.55817039237175,90.40998377,111.85817837153566,8.986002403,8.458672934355254,45.20499189,55.92908918590347
490.1775702,410.23199152214886,39.16441758,33.606734947936204,90.42458037,112.05818567164309,9.002352283,8.474219750778976,45.21229018,56.02909283595841
490.7684775,410.8863932318992,39.19944501,33.65529950350066,90.45365482,112.25819297175053,9.019365929,8.489766567202697,45.22682741,56.12909648601334
491.3488983,411.54079494164955,39.23344799,33.70386405906511,90.4974714,112.45820027185795,9.037055263,8.505313383626419,45.2487357,56.22910013606827
491.9187174,412.1951966513999,39.26641467,33.75242861462957,90.55629435,112.65820757196539,9.055432208,8.52086020005014,45.27814718,56.32910378612321
492.4778197,412.84959836115024,39.29833318,33.800993170194026,90.63038796,112.85821487207282,9.07450869,8.536407016473861,45.31519398,56.42910743617814
493.0260901,413.50400007090053,39.32919166,33.84955772575848,90.72001647,113.05822217218025,9.09429663,8.551953832897583,45.36000824,56.52911108623309
493.5634133,414.1584017806509,39.35897825,33.898122281322934,90.82544417,113.2582294722877,9.114807952,8.567500649321303,45.41272208,56.62911473628802
494.0896742,414.81280349040117,39.38768108,33.94668683688739,90.9469353,113.45823677239513,9.13605458,8.583047465745025,45.47346765,56.72911838634295
494.6047578,415.4672052001515,39.41528831,33.99525139245184,91.08475413,113.65824407250255,9.158048436,8.598594282168747,45.54237706,56.829122036397884
495.1085488,416.12160690990186,39.44178806,34.0438159480163,91.23916493,113.85825137260998,9.180801446,8.614141098592468,45.61958246,56.92912568645282
495.6015835,416.7760086196522,39.46729127,34.092380503580756,91.4092583,114.05825867271741,9.204219135,8.62968791501619,45.70462915,57.02912933650775
496.0835745,417.43041032940255,39.49174098,34.14094505914521,91.59553658,114.25826597282484,9.22835041,8.64523473143991,45.79776829,57.12913298656269
496.5543688,418.0848120391529,39.51510756,34.189509614709664,91.79827014,114.45827327293227,9.253220786,8.660781547863632,45.89913507,57.229136636617625
497.0139665,418.7392137489032,39.53739102,34.23807417027412,92.01745898,114.65828057303972,9.278830264,8.676328364287354,46.00872949,57.329140286672555
497.4623676,419.3936154586535,39.55859135,34.28663872583857,92.25310311,114.85828787314715,9.305178843,8.691875180711074,46.12655155,57.4291439367275
