,MSE,R2
G,42.621307959281765,0.9132724926810012
Q,0.5821248847826097,0.8985335353370251
L,170.03914235761522,0.9134435083463527
A,0.5224489595383084,0.8906246664308277
P,42.50978556044525,0.9134435084155407
